,,,,WEEK 1,,,,,,WEEK 2,,,,,,WEEK 3,,,,,,WEEK 4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARGETS,GOAL,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly ,[TEST],Jobs Applied,,,,,,,,,,,,,,,,,,,,,,,,
,,LinkedIn Requests,,,,,,,,,,,,,,,,,,,,,,,,
,,LinkedIn Connections,,,,,,,,,,,,,,,,,,,,,,,,
,,Conversations,,,,,,,,,,,,,,,,,,,,,,,,
,,LinkedIn Post,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily ,,Jobs Applied,,,,,,,,,,,,,,,,,,,,,,,,
,,LinkedIn Requests,,,,,,,,,,,,,,,,,,,,,,,,
,,LinkedIn Connections,,,,,,,,,,,,,,,,,,,,,,,,
,,Conversation,,,,,,,,,,,,,,,,,,,,,,,,
,,LinkedIn Post,,,,,,,,,,,,,,,,,,,,,,,,